Programme_ID,Programme_Name,Programme_Short_Description,Programme_Location,Programme_Access,Programme_Detailed_Description,Image,Page URL,Narratives_Programme_Is_Part_Of,Discipline_Programme_Is_Part_Of
152,Drum: Rock & Light!,"'Drum' is a 3D printed lamp inspired by musical cymbals. Apart from the central aluminium rod, it is printed with PLA, a filament made from corn.","Centre area, Schellens Fabriek, Bleekweg 1M",Free,"The 'Drum' lamp is rechargeable, portable, dimmable. It is made of PLA filament with 3D printing and it is inspired by the musical cymbals functioning. In fact Drum has a joint that allows the reflected light beam to be increased or decreased by raising or lowering the lower plate.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/foto1_1694431942_1800x1010.jpg,https://ddw.nl/en/programme/10941/drum-rock-amp-light,,
153,Dump Design - Redefining Recycling Centre Waste,A selection of the best circular products made from waste from the recycling centre Upcycle Centrum Almere.,"Strijp T+R area, Piet Hein Eek, Halvemaanstraat 30",Access,"At Dump Design you can witness our research on the development of new materials, made from recycle waste. These practical examples will inspire you. Circuit boards transformed into jewelry, sofas turned into bags, or flooring repurposed as tables, new design is possible where you don't expect it.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/dump-design-collective-klein_1694768607_1800x1010.png,https://ddw.nl/en/programme/9798/dump-design-redefining-recycling-centre-waste,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""PRODUCT & CRAFT DESIGN""]",Industrial Design
154,DUMP DESIGN: SIGNIFICANT LEATHER,"SIGNIFICANT LEATHER is honest, rough and no frills, nothing more, nothing less. Everything and everyone has value and significance.","Strijp T+R area, Piet Hein Eek, Halvemaanstraat 30",Access,"SIGNIFICANT LEATHER shows two identical bags in the same material and color scheme. They have had the same function before that both were labeled as waste.
A significant difference is who sat on it and what social position these bench sitters had. But is that seen by everyone?",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/bags1-smaller_1693376972_1800x1010.jpg,https://ddw.nl/en/programme/10746/dump-design-significant-leather,,
155,DUO-TOON Project,SOLO en Samen op zoek naar nieuwe interieure vormen: een combinatie van ambacht en digitale ontwerp- en productietechniek met andere ontwerpers.,"Sectie-C area, Atelier Houtwerff, Daalakkersweg 4-26",Free with DDW Ticket,Voor dit DUO-TOON project toon ik als zelfproducerend meubelontwerper orgineel en zelfstandig ontwikkelde meubelobjecten. En we presenteren in samenwerking gemaakte interieurobjecten. Het project toont de gevoelsmatig (intuïtief) berekende schoonheid vanuit materiele en technische mogelijkheden.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/telgang_1693466289_1800x1010.jpg,https://ddw.nl/en/programme/10271/duo-toon-project,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""PRODUCT & CRAFT DESIGN"", ""GROUP EXHIBITION""]",Interior Design
156,Dutch Design Awards 2023,Exhibition of all nominees and winners of Dutch Design Awards 2023,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"Every year during DDW, DDA awards the best Dutch design of the past year, divided into eight categories. In addition, the DDA Exhibition displays all winning and nominated designs.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/logo-dda-high-res-1_1693554090_1800x1010.jpg,https://ddw.nl/en/programme/9726/dutch-design-awards-2023,,
157,Dutch Design Wijk,,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"Dutch Design WIJK -
Woensel West is the place to be! Dwaalhaas organises the Dutch Design WIJK. For everyone with a location, studio, Join the group: https://www.facebook.com/groups/662401482231871",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/dwaalhaas_1694946658_1800x1010.jpg,https://ddw.nl/en/programme/11077/dutch-design-wijk,,
158,Eat Dust,,"Hallenweg area, De Fabriek, Baarsstraat 38",Free,"This work reimagines the once-controversial elements of the '90s import car culture. Its goal is to recapture the lost symbolism that represented identity and belonging. It involves the destruction and aestheticization of corporate logos, to gain a deeper connection to personal identity.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/screen-shot-2023-08-30-at-95653-pm_1693425423_1800x1010.png,https://ddw.nl/en/programme/10738/eat-dust,,
159,Echoes,,"Sectie-C area, Hall G, Daalakkersweg 6",,"An exhibition that delves into the heterogeneous origination of a series of one-off, collectable design pieces. Inspired by a diverse selection of materials cherished within the designer's studio over the years, the project resonates with a journey of memory, connection, and continuity.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/nd7-0251-post-ready-for-uploading-on-ddw-website-resized_1693041599_1800x1010.jpg,https://ddw.nl/en/programme/10032/echoes,"[""EXHIBITIONS"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Design Research
160,École Camondo x Dutch Design Week,"Explore the projects of four young talents from Camondo School, graduated in 2023 : eco-design, craft, new technology, public space and well-being.","Strijp-S area, Klokgebouw | Hall 2, Klokgebouw 50",Free with DDW Ticket,"Featuring the talented graduates Léo Achard, Sarah Louche, Mathias Menager and Marine Plantefeve, the exhibition showcases their 2023 final projects at Camondo School. This is a unique opportunity for these young talents to express their creativity at the largest design event in Northern Europe.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/standentierdroite-1_1694633066_1800x1010.jpg,https://ddw.nl/en/programme/10686/ecole-camondo-x-dutch-design-week,,
161,Een eerlijke start voor de generatie van morgen,Invest in the first 1000 days of life - counted from conception to second birthday - and contribute to more resilient generations,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"Step into the magical world of the first 1000 days. Listen to one of our exercises - about how, as a caregiver, you can build a connection with your baby in the womb - and explore the science of linguistic development.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/buikpraat-olga-van-lingen-en-lotte-jonkergouw-portret-01-photo-selfportrait_1693515627_1800x1010.jpg,https://ddw.nl/en/programme/10054/een-eerlijke-start-voor-de-generatie-van-morgen,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""SPECULATIVE & SOCIAL DESIGN""]",Service Design
162,EGO DEATH,,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,A collaboration between Artificial and Human Emotional intelligence.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/jaime5def_1694381620_1800x1010.jpg,https://ddw.nl/en/programme/11019/ego-death,,
163,Eilamp / Egglamp,A playful lamp made from real eggs.,"Strijp T+R area, Piet Hein Eek, Halvemaanstraat 30",Free,"As a fan of Droog Design, Ruben de Haas created a simple and fun lamp. These unique lightbulbs are surprisingly beautiful and interesting due to the imperfections of the eggshells.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/000-eilamp-copy_1692888498_1800x1010.jpg,https://ddw.nl/en/programme/10666/eilamp-egglamp,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""PRODUCT & CRAFT DESIGN""]",Interior Design
164,Embassy of Circular & Biobased Building,"If we want to build a sustainable world, we must consider the entire system.","Strijp-S area, Ketelhuisplein, Ketelhuisplein",Free,"The Embassy explores new perspectives for a sustainable living environment in collaboration with stakeholders and knowledge partners from the construction and agriculture sectors. Through storytelling and imagination, we involve experts and the general public in this research and its outcomes.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/possible-landscapes-de-peel-maquetteinstallatie-c-abouttoday-2023-05-232731-lr_1693553956_1800x1010.jpg,https://ddw.nl/en/programme/10056/embassy-of-circular-amp-biobased-building,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SERVICE & INNOVATIVE DESIGN""]",Design Research
165,Embassy of Food,,"West area, Evoluon, Noord Brabantlaan 1A",,The Embassy of Food believes in the role that designers can play in shaping the world behind our food and the relationship we all have with our food.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/food-credits-kadir-van-lohuizen-noor_1692263779_1800x1010.jpeg,https://ddw.nl/en/programme/9969/embassy-of-food,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SERVICE & INNOVATIVE DESIGN""]",Food Design
166,Embassy of Health,How can we put health first in our society by utilising the power of design?,"Strijp-S area, Foundation We Are, Torenallee 22-04",,"Can we see our health as a value in itself? How can we save health, let it flow, exchange and share it with each other? How can design and imagination contribute to a (re)valuation of health as our greatest good?",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/lr-commin-in-lodewijkvandeyselstraat-16-copy_1693302035_1800x1010.jpg,https://ddw.nl/en/programme/9981/embassy-of-health,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SPECULATIVE & SOCIAL DESIGN""]",Health Design
167,Embassy of Inclusive Society,"The society we live in seems to embrace diversity, but is the work being done to actually become more just?","Centre area, Van Abbemuseum, Stratumsedijk 2",Free with DDW Ticket,"This year, the Embassy is initiating various (un)learning spaces. Together with the Embassy coalition partners, we gather to exchange current challenges, methods and shared ambitions.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/multiform-c-iris-rijskamp-copy-1-min_1692267738_1800x1010.jpg,https://ddw.nl/en/programme/9983/embassy-of-inclusive-society,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
168,Embassy of Mobility,"Creating liveable cities together, that is what the Embassy of Mobility stands for.","Strijp-S area, Donna, Philitelaan 57",Free,What does our city look like without cars in front of the door? And what do we get in place of them? More greenery? More homes? Places to get together and relax? We will explore these questions together and experiment with possible solutions.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/bosk-arcadia-2022-locatie-7-gouveneursplein-foto-floris-leeuwenberg_1695367682_1800x1010.jpg,https://ddw.nl/en/programme/9980/embassy-of-mobility,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SERVICE & INNOVATIVE DESIGN""]",Experience Design
169,Embassy of Mobility Living Lab,,"Strijp-S area, Donna, Philitelaan 57",Free,"Creating liveable cities together, that is what the Embassy of Mobility stands for. With creative makers, such as designers and mobility professionals, but especially with city residents, travellers and companies. We can brainstorm, experiment and change together.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/643edf3714e3f-bosk-locatie-7-gouveneursplein-foto-floris-leeuwenberg-1-1500x0-c-default_1694417944_1800x1010.jpg,https://ddw.nl/en/programme/10646/embassy-of-mobility-living-lab,,
170,Embassy of Safety,In the Embassy of Safety we are going to look for new ways of making and making amends.,"Strijp-S area, Klokgebouw | Hall 3, Klokgebouw 50",Free with DDW Ticket,Those who understand how their criminal actions have impacted others and have managed to reconcile with them are far less likely to be repeat offenders. That’s why we’re searching for additional ways of making amends.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/fluer-ontwapens-0173klein_1693552651_1800x1010.jpg,https://ddw.nl/en/programme/9982/embassy-of-safety,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
171,Embassy of Water,,"Centre area, Stadhuisplein, Stadhuisplein",11:00 - 18:00,"The Embassy of Water gathers the water design of the past five years and brings it together in a pavilion at Stadhuisplein during Dutch Design Week 2023 (DDW23). Expect a grand plan for water restoration for homes, a new way of thinking about water, and more.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/beeld-narratief-water-2023_1694526040_1800x1010.jpg,https://ddw.nl/en/programme/9979/embassy-of-water,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SERVICE & INNOVATIVE DESIGN""]",Bio Design
172,EMBRYØ,"all of us, encoded","Hallenweg area, De Fabriek, Baarsstraat 38",Free,An exploration of craft in an age of digitization.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/carolinatrinker-parsonsschoolofdesign-1_1693487290_1800x1010.jpg,https://ddw.nl/en/programme/10373/embryo,"[""EXHIBITIONS"", ""OUR DIGITAL FUTURE"", ""INDEPENDENT & CRITICAL DESIGN""]",Fashion Design
173,Empty House,,"Centre area, Albert van Abbehuis, Bilderdijklaan 19",Free,"Urban Space is a survival place for living beings like humans, but the subject of survival itself at the same time. By delving into the spatiotemporal anecdote of demolished buildings and places in the city, the work deals with the coexistence of liveness and void in them.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/my-image_1693502803_1800x1010.jpeg,https://ddw.nl/en/programme/10866/empty-house,,
175,Entanglement in Machine Learning,A installation to show the importance of fairness in AI models what makes you think…,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"AI and machine learning model applied to the U.S. legal system. What could possibly go wrong? By highlighting the disadvantaged groups within the system, it raises questions about the ethical implications of using AI models in such sensitive and crucial aspects of our society.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/img-1073_1694782601_1800x1010.jpeg,https://ddw.nl/en/programme/10952/entanglement-in-machine-learning,,
176,Environmental Amnesia,,"Station area, Design Perron, Fuutlaan 12",Free,"This installation invites us to reflect on the complex relationship between technology and nature. It aims to bridge the gap between the planet we stand on and the virtual world we inhabit, all while investigating the underlying motivations for our longing to reconnect with nature.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/environmentalamnesia-1-small_1692963995_1800x1010.jpg,https://ddw.nl/en/programme/10413/environmental-amnesia,"[""EXHIBITIONS"", ""OUR DIGITAL FUTURE"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Installation Design
